id_evento;numero_caso;cliente_id;etapa_id;canal_id;tipo_verificacion;estado_documentacion;aml_risk_score;fecha_inicio;fecha_fin;tiempo_horas;estado_evento;risk_id;fecha_id
32;8;8;4;2;Manual;Complete;FALSE;06/02/2026 5:30;06/02/2026 6:30;1.0;Approved;1;20260206
31;8;8;3;2;Manual;Complete;FALSE;06/02/2026 3:30;06/02/2026 5:30;2.0;Approved;1;20260206
30;8;8;2;2;Manual;Complete;FALSE;06/02/2026 0:30;06/02/2026 3:30;3.0;Rejected;2;20260206
745;187;187;1;2;Automatica;Suspicious;FALSE;09/01/2026 0:00;09/01/2026 0:30;0.5;Rejected;1;20260109
54;14;14;2;3;Manual;Expired;FALSE;11/02/2026 5:00;11/02/2026 15:00;10.0;Rejected;2;20260211
55;14;14;4;3;Manual;Expired;FALSE;11/02/2026 15:00;11/02/2026 23:00;8.0;Rejected;1;20260211
53;14;14;1;3;Manual;Incomplete;FALSE;11/02/2026 0:00;11/02/2026 5:00;5.0;Approved;1;20260211
56;14;14;6;3;Manual;Expired;FALSE;11/02/2026 23:00;12/02/2026 5:00;6.0;Approved;1;20260211
47;12;12;4;1;Automatica;Incomplete;FALSE;13/06/2026 15:00;13/06/2026 23:00;8.0;Rejected;1;20260613
45;12;12;1;1;Automatica;Expired;FALSE;13/06/2026 0:00;13/06/2026 5:00;5.0;Approved;1;20260613
46;12;12;2;1;Automatica;Incomplete;FALSE;13/06/2026 5:00;13/06/2026 15:00;10.0;Rejected;2;20260613
48;12;12;6;1;Automatica;Expired;FALSE;13/06/2026 23:00;14/06/2026 5:00;6.0;Rejected;2;20260613
7;2;2;4;1;Automatica;Incomplete;FALSE;14/02/2026 15:00;14/02/2026 23:00;8.0;Rejected;2;20260214
8;2;2;6;1;Automatica;Suspicious;FALSE;14/02/2026 23:00;15/02/2026 5:00;6.0;Rejected;1;20260214
293;74;74;1;1;Automatica;Complete;FALSE;14/02/2026 0:00;14/02/2026 5:00;5.0;Rejected;3;20260214
5;2;2;1;1;Automatica;Expired;FALSE;14/02/2026 0:00;14/02/2026 5:00;5.0;Rejected;2;20260214
905;227;227;1;3;Automatica;Complete;FALSE;01/05/2026 0:00;01/05/2026 5:00;5.0;Approved;1;20260501
906;227;227;2;3;Automatica;Complete;FALSE;01/05/2026 5:00;01/05/2026 15:00;10.0;Approved;2;20260501
920;230;230;6;1;Automatica;Complete;FALSE;01/02/2026 0:07;01/02/2026 0:09;0.03;Approved;1;20260201
919;230;230;4;1;Automatica;Complete;FALSE;01/02/2026 0:04;01/02/2026 0:07;0.05;Approved;2;20260201
918;230;230;2;1;Automatica;Complete;FALSE;01/02/2026 0:01;01/02/2026 0:04;0.05;Approved;2;20260201
907;227;227;4;3;Automatica;Complete;FALSE;01/05/2026 15:00;01/05/2026 23:00;8.0;Approved;1;20260501
917;230;230;1;1;Automatica;Complete;FALSE;01/02/2026 0:00;01/02/2026 0:01;0.02;Approved;2;20260201
908;227;227;6;3;Automatica;Complete;FALSE;01/05/2026 23:00;02/05/2026 5:00;6.0;Approved;1;20260501
704;176;176;6;3;Automatica;Complete;FALSE;01/02/2026 23:00;02/02/2026 5:00;6.0;Approved;1;20260201
