id_evento,numero_caso,cliente_id,etapa_id,canal_id,tipo_verificacion,estado_documentacion,aml_risk_score,fecha_inicio,fecha_fin,tiempo_horas,estado_evento,risk_id,fecha_id,risk_score
1004,251,251,6,1,Manual,Complete,false,2026-01-05 23:00:00.000,2026-02-05 17:00:00.000,738.00,Approved,1,20260501,12
1003,251,251,4,1,Manual,Complete,false,2026-01-05 15:00:00.000,2026-01-06 11:00:00.000,20.00,Approved,2,20260501,28
1002,251,251,2,1,Manual,Complete,false,2026-01-05 05:00:00.000,2026-01-06 03:00:00.000,22.00,Approved,1,20260501,0
1001,251,251,1,1,Manual,Complete,false,2026-01-05 00:00:00.000,2026-01-05 17:00:00.000,17.00,Approved,1,20260501,1
765,192,192,1,3,Manual,Complete,false,2026-02-06 00:00:00.000,2026-02-06 17:00:00.000,17.00,Approved,2,20260602,38
766,192,192,2,3,Manual,Complete,false,2026-02-06 05:00:00.000,2026-02-07 03:00:00.000,22.00,Approved,2,20260602,28
767,192,192,4,3,Manual,Complete,false,2026-02-06 15:00:00.000,2026-02-07 11:00:00.000,20.00,Approved,2,20260602,45
768,192,192,6,3,Manual,Complete,false,2026-02-06 23:00:00.000,2026-03-06 17:00:00.000,666.00,Approved,1,20260602,4
1056,264,264,4,2,Manual,Complete,false,2026-03-06 05:30:00.000,2026-03-06 18:30:00.000,13.00,Approved,2,20260603,26
1054,264,264,2,2,Manual,Complete,false,2026-03-06 00:30:00.000,2026-03-06 15:30:00.000,15.00,Approved,1,20260603,6
1053,264,264,1,2,Manual,Complete,false,2026-03-06 00:00:00.000,2026-03-06 12:30:00.000,12.50,Approved,1,20260603,1
580,145,145,6,3,Manual,Complete,false,2026-03-01 23:00:00.000,2026-04-01 17:00:00.000,738.00,Approved,1,20260103,22
579,145,145,4,3,Manual,Complete,false,2026-03-01 15:00:00.000,2026-03-02 11:00:00.000,20.00,Approved,1,20260103,5
578,145,145,2,3,Manual,Complete,false,2026-03-01 05:00:00.000,2026-03-02 03:00:00.000,22.00,Approved,2,20260103,33
577,145,145,1,3,Manual,Complete,false,2026-03-01 00:00:00.000,2026-03-01 17:00:00.000,17.00,Approved,1,20260103,6
1055,264,264,3,2,Manual,Complete,false,2026-03-06 03:30:00.000,2026-03-06 17:30:00.000,14.00,Approved,1,20260603,4
525,132,132,1,2,Manual,Complete,false,2026-04-06 00:00:00.000,2026-04-06 12:30:00.000,12.50,Approved,1,20260604,22
101,26,26,1,3,Manual,Complete,false,2026-04-02 00:00:00.000,2026-04-02 17:00:00.000,17.00,Approved,1,20260204,17
102,26,26,2,3,Manual,Complete,false,2026-04-02 05:00:00.000,2026-04-03 03:00:00.000,22.00,Approved,2,20260204,25
103,26,26,4,3,Manual,Complete,false,2026-04-02 15:00:00.000,2026-04-03 11:00:00.000,20.00,Approved,2,20260204,34
526,132,132,2,2,Manual,Complete,false,2026-04-06 00:30:00.000,2026-04-06 15:30:00.000,15.00,Approved,1,20260604,15
527,132,132,3,2,Manual,Complete,false,2026-04-06 03:30:00.000,2026-04-06 17:30:00.000,14.00,Approved,1,20260604,7
528,132,132,4,2,Manual,Complete,false,2026-04-06 05:30:00.000,2026-04-06 18:30:00.000,13.00,Approved,1,20260604,2
468,117,117,6,1,Manual,Complete,false,2026-05-03 23:00:00.000,2026-06-03 17:00:00.000,738.00,Approved,2,20260305,47
467,117,117,4,1,Manual,Complete,false,2026-05-03 15:00:00.000,2026-05-04 11:00:00.000,20.00,Approved,1,20260305,21
1069,268,268,1,2,Manual,Complete,false,2026-05-04 00:00:00.000,2026-05-04 12:30:00.000,12.50,Approved,2,20260405,44
1070,268,268,2,2,Manual,Complete,false,2026-05-04 00:30:00.000,2026-05-04 15:30:00.000,15.00,Approved,2,20260405,37
1072,268,268,4,2,Manual,Complete,false,2026-05-04 05:30:00.000,2026-05-04 18:30:00.000,13.00,Approved,1,20260405,0
466,117,117,2,1,Manual,Complete,false,2026-05-03 05:00:00.000,2026-05-04 03:00:00.000,22.00,Approved,1,20260305,23
465,117,117,1,1,Manual,Complete,false,2026-05-03 00:00:00.000,2026-05-03 17:00:00.000,17.00,Approved,1,20260305,8
1071,268,268,3,2,Manual,Complete,false,2026-05-04 03:30:00.000,2026-05-04 17:30:00.000,14.00,Approved,1,20260405,16
1014,254,254,2,3,Manual,Incomplete,false,2026-05-02 05:00:00.000,2026-05-03 03:00:00.000,22.00,Approved,1,20260205,2
1016,254,254,6,3,Manual,Incomplete,false,2026-05-02 23:00:00.000,2026-06-02 17:00:00.000,738.00,Approved,1,20260205,10
1013,254,254,1,3,Manual,Expired,false,2026-05-02 00:00:00.000,2026-05-02 17:00:00.000,17.00,Approved,1,20260205,5
337,85,85,1,3,Manual,Complete,false,2026-06-01 00:00:00.000,2026-06-01 17:00:00.000,17.00,Approved,1,20260106,16
338,85,85,2,3,Manual,Complete,false,2026-06-01 05:00:00.000,2026-06-02 03:00:00.000,22.00,Approved,1,20260106,8
339,85,85,4,3,Manual,Complete,false,2026-06-01 15:00:00.000,2026-06-02 11:00:00.000,20.00,Approved,1,20260106,4
340,85,85,6,3,Manual,Complete,false,2026-06-01 23:00:00.000,2026-07-01 17:00:00.000,714.00,Approved,1,20260106,5
104,26,26,6,3,Manual,Complete,false,2026-04-02 23:00:00.000,2026-05-02 17:00:00.000,714.00,Approved,1,20260204,3
1141,286,286,1,2,Manual,Incomplete,false,2026-06-04 00:00:00.000,2026-06-04 12:30:00.000,12.50,Approved,2,20260406,38
1142,286,286,2,2,Manual,Incomplete,false,2026-06-04 00:30:00.000,2026-06-04 15:30:00.000,15.00,Approved,1,20260406,11
1143,286,286,3,2,Manual,Incomplete,false,2026-06-04 03:30:00.000,2026-06-04 17:30:00.000,14.00,Approved,1,20260406,15
369,93,93,1,3,Manual,Complete,false,2026-07-03 00:00:00.000,2026-07-03 17:00:00.000,17.00,Approved,1,20260307,16
370,93,93,2,3,Manual,Complete,false,2026-07-03 05:00:00.000,2026-07-04 03:00:00.000,22.00,Approved,1,20260307,24
371,93,93,4,3,Manual,Complete,false,2026-07-03 15:00:00.000,2026-07-04 11:00:00.000,20.00,Approved,1,20260307,21
372,93,93,6,3,Manual,Complete,false,2026-07-03 23:00:00.000,2026-08-03 17:00:00.000,738.00,Approved,1,20260307,11
952,238,238,4,2,Manual,Complete,false,2026-07-04 05:30:00.000,2026-07-04 18:30:00.000,13.00,Approved,1,20260407,18
951,238,238,3,2,Manual,Complete,false,2026-07-04 03:30:00.000,2026-07-04 17:30:00.000,14.00,Approved,3,20260407,70
